claim,rating,source,date,evidence,category,url,cleaned_claim,label,text_length,word_count,caps_ratio,exclamation_count
Vaccines cause autism,FALSE,Nature,2024-12-14,Multiple sources confirm this claim.,Health,https://example.com/fact-check/4155,vaccines cause autism,0,21,3,0.047619047619047616,0
Humans only use 10% of their brains,FALSE,FactCheck.org,2024-10-11,Multiple sources confirm this claim.,Technology,https://example.com/fact-check/1337,humans only use 10 of their brains,0,35,7,0.02857142857142857,0
Mount Everest is the highest peak on Earth,TRUE,CDC,2025-07-28,Multiple sources discuss this claim.,Technology,https://example.com/fact-check/7441,mount everest is the highest peak on earth,1,42,8,0.07142857142857142,0
The Earth is flat,FALSE,Scientific American,2024-11-06,Multiple sources confirm this claim.,Health,https://example.com/fact-check/4067,the earth is flat,0,17,4,0.11764705882352941,0
New technology could revolutionize transportation,UNCLEAR,AP News,2024-10-31,Multiple sources dispute this claim.,Environment,https://example.com/fact-check/3027,new technology could revolutionize transportation,2,49,5,0.02040816326530612,0
Social media may affect mental health,UNCLEAR,Reuters,2025-03-14,Multiple sources discuss this claim.,Technology,https://example.com/fact-check/2855,social media may affect mental health,2,37,6,0.02702702702702703,0
Climate change is a hoax,FALSE,Reuters,2025-03-15,Multiple sources dispute this claim.,Politics,https://example.com/fact-check/4129,climate change is a hoax,0,24,5,0.041666666666666664,0
Remote work could increase productivity,UNCLEAR,Scientific American,2025-05-24,Multiple sources confirm this claim.,Science,https://example.com/fact-check/4619,remote work could increase productivity,2,39,5,0.02564102564102564,0
All GMO foods are dangerous,FALSE,Reuters,2025-02-04,Multiple sources dispute this claim.,Science,https://example.com/fact-check/3288,all gmo foods are dangerous,0,27,5,0.14814814814814814,0
Evolution is just a theory without evidence,FALSE,Scientific American,2025-08-08,Multiple sources confirm this claim.,Technology,https://example.com/fact-check/7980,evolution is just a theory without evidence,0,43,7,0.023255813953488372,0
The Moon landing was faked,FALSE,Reuters,2024-10-17,Multiple sources confirm this claim.,Politics,https://example.com/fact-check/3251,the moon landing was faked,0,26,5,0.07692307692307693,0
Alternative energy sources might become dominant,UNCLEAR,AP News,2025-06-26,Multiple sources confirm this claim.,Science,https://example.com/fact-check/9057,alternative energy sources might become dominant,2,48,6,0.020833333333333332,0
Vaccines cause autism,FALSE,Scientific American,2025-02-26,Multiple sources discuss this claim.,Science,https://example.com/fact-check/2624,vaccines cause autism,0,21,3,0.047619047619047616,0
Water boils at 100 degrees Celsius at sea level,TRUE,WHO,2024-10-03,Multiple sources confirm this claim.,Politics,https://example.com/fact-check/6555,water boils at 100 degrees celsius at sea level,1,47,9,0.0425531914893617,0
Some experts predict market volatility,UNCLEAR,AP News,2024-12-20,Multiple sources dispute this claim.,Environment,https://example.com/fact-check/4177,some experts predict market volatility,2,38,5,0.02631578947368421,0
Light travels faster than sound,TRUE,AP News,2025-07-14,Multiple sources dispute this claim.,Health,https://example.com/fact-check/7854,light travels faster than sound,1,31,5,0.03225806451612903,0
Remote work could increase productivity,UNCLEAR,Nature,2024-10-14,Multiple sources discuss this claim.,Science,https://example.com/fact-check/1448,remote work could increase productivity,2,39,5,0.02564102564102564,0
Humans only use 10% of their brains,FALSE,Scientific American,2025-06-11,Multiple sources dispute this claim.,Technology,https://example.com/fact-check/8320,humans only use 10 of their brains,0,35,7,0.02857142857142857,0
The Moon orbits around the Earth,TRUE,CDC,2025-03-15,Multiple sources discuss this claim.,Health,https://example.com/fact-check/9126,the moon orbits around the earth,1,32,6,0.09375,0
Artificial intelligence might replace some jobs,UNCLEAR,Reuters,2025-01-30,Multiple sources dispute this claim.,Technology,https://example.com/fact-check/3736,artificial intelligence might replace some jobs,2,47,6,0.02127659574468085,0
Alternative energy sources might become dominant,UNCLEAR,Science Daily,2025-09-10,Multiple sources confirm this claim.,Health,https://example.com/fact-check/5056,alternative energy sources might become dominant,2,48,6,0.020833333333333332,0
Alternative energy sources might become dominant,UNCLEAR,Scientific American,2024-12-06,Multiple sources confirm this claim.,Health,https://example.com/fact-check/1221,alternative energy sources might become dominant,2,48,6,0.020833333333333332,0
Artificial intelligence might replace some jobs,UNCLEAR,AP News,2024-12-15,Multiple sources discuss this claim.,Environment,https://example.com/fact-check/2745,artificial intelligence might replace some jobs,2,47,6,0.02127659574468085,0
Certain diets may help with weight loss,UNCLEAR,WHO,2025-06-23,Multiple sources dispute this claim.,Environment,https://example.com/fact-check/4536,certain diets may help with weight loss,2,39,7,0.02564102564102564,0
The human body has 206 bones,TRUE,Reuters,2025-02-25,Multiple sources confirm this claim.,Environment,https://example.com/fact-check/4294,the human body has 206 bones,1,28,6,0.03571428571428571,0
Alternative energy sources might become dominant,UNCLEAR,CDC,2025-08-03,Multiple sources discuss this claim.,Science,https://example.com/fact-check/8115,alternative energy sources might become dominant,2,48,6,0.020833333333333332,0
Light travels faster than sound,TRUE,Reuters,2024-12-10,Multiple sources dispute this claim.,Science,https://example.com/fact-check/6479,light travels faster than sound,1,31,5,0.03225806451612903,0
The Earth orbits around the Sun,TRUE,AP News,2025-01-27,Multiple sources discuss this claim.,Technology,https://example.com/fact-check/5184,the earth orbits around the sun,1,31,6,0.0967741935483871,0
The Moon orbits around the Earth,TRUE,Nature,2025-08-20,Multiple sources discuss this claim.,Technology,https://example.com/fact-check/3168,the moon orbits around the earth,1,32,6,0.09375,0
Mount Everest is the highest peak on Earth,TRUE,Reuters,2025-08-01,Multiple sources discuss this claim.,Technology,https://example.com/fact-check/3545,mount everest is the highest peak on earth,1,42,8,0.07142857142857142,0
Alternative energy sources might become dominant,UNCLEAR,WHO,2024-10-11,Multiple sources dispute this claim.,Health,https://example.com/fact-check/5526,alternative energy sources might become dominant,2,48,6,0.020833333333333332,0
Economic growth may improve next year,UNCLEAR,FactCheck.org,2025-07-30,Multiple sources discuss this claim.,Environment,https://example.com/fact-check/7435,economic growth may improve next year,2,37,6,0.02702702702702703,0
Alternative energy sources might become dominant,UNCLEAR,AP News,2025-08-31,Multiple sources dispute this claim.,Environment,https://example.com/fact-check/8971,alternative energy sources might become dominant,2,48,6,0.020833333333333332,0
The Earth orbits around the Sun,TRUE,Reuters,2025-03-07,Multiple sources discuss this claim.,Environment,https://example.com/fact-check/2353,the earth orbits around the sun,1,31,6,0.0967741935483871,0
The Moon orbits around the Earth,TRUE,Nature,2025-01-16,Multiple sources discuss this claim.,Health,https://example.com/fact-check/1372,the moon orbits around the earth,1,32,6,0.09375,0
Artificial intelligence might replace some jobs,UNCLEAR,AP News,2025-05-06,Multiple sources discuss this claim.,Science,https://example.com/fact-check/9671,artificial intelligence might replace some jobs,2,47,6,0.02127659574468085,0
Evolution is just a theory without evidence,FALSE,Science Daily,2024-12-21,Multiple sources discuss this claim.,Technology,https://example.com/fact-check/1370,evolution is just a theory without evidence,0,43,7,0.023255813953488372,0
Light travels faster than sound,TRUE,Science Daily,2025-06-04,Multiple sources dispute this claim.,Health,https://example.com/fact-check/1747,light travels faster than sound,1,31,5,0.03225806451612903,0
The human body has 206 bones,TRUE,AP News,2025-04-20,Multiple sources discuss this claim.,Technology,https://example.com/fact-check/9398,the human body has 206 bones,1,28,6,0.03571428571428571,0
Evolution is just a theory without evidence,FALSE,Scientific American,2025-03-29,Multiple sources discuss this claim.,Technology,https://example.com/fact-check/8107,evolution is just a theory without evidence,0,43,7,0.023255813953488372,0
Plants produce oxygen through photosynthesis,TRUE,Science Daily,2025-01-12,Multiple sources discuss this claim.,Environment,https://example.com/fact-check/5083,plants produce oxygen through photosynthesis,1,44,5,0.022727272727272728,0
Humans only use 10% of their brains,FALSE,Nature,2025-02-06,Multiple sources discuss this claim.,Health,https://example.com/fact-check/1753,humans only use 10 of their brains,0,35,7,0.02857142857142857,0
The Earth orbits around the Sun,TRUE,AP News,2025-07-18,Multiple sources confirm this claim.,Politics,https://example.com/fact-check/9256,the earth orbits around the sun,1,31,6,0.0967741935483871,0
5G networks spread viruses,FALSE,FactCheck.org,2025-02-27,Multiple sources dispute this claim.,Health,https://example.com/fact-check/6337,5g networks spread viruses,0,26,4,0.038461538461538464,0
Social media may affect mental health,UNCLEAR,AP News,2025-01-17,Multiple sources dispute this claim.,Science,https://example.com/fact-check/2619,social media may affect mental health,2,37,6,0.02702702702702703,0
Vaccines cause autism,FALSE,Scientific American,2025-05-31,Multiple sources discuss this claim.,Environment,https://example.com/fact-check/3794,vaccines cause autism,0,21,3,0.047619047619047616,0
Light travels faster than sound,TRUE,Nature,2025-03-14,Multiple sources confirm this claim.,Politics,https://example.com/fact-check/7141,light travels faster than sound,1,31,5,0.03225806451612903,0
Humans need oxygen to breathe,TRUE,Reuters,2025-04-20,Multiple sources discuss this claim.,Environment,https://example.com/fact-check/5028,humans need oxygen to breathe,1,29,5,0.034482758620689655,0
The Moon orbits around the Earth,TRUE,Scientific American,2025-02-20,Multiple sources dispute this claim.,Politics,https://example.com/fact-check/3336,the moon orbits around the earth,1,32,6,0.09375,0
New technology could revolutionize transportation,UNCLEAR,AP News,2025-09-12,Multiple sources confirm this claim.,Science,https://example.com/fact-check/6424,new technology could revolutionize transportation,2,49,5,0.02040816326530612,0
COVID-19 is no worse than the common cold,FALSE,Science Daily,2024-12-27,Multiple sources dispute this claim.,Health,https://example.com/fact-check/7491,covid 19 is no worse than the common cold,0,41,8,0.12195121951219512,0
New technology could revolutionize transportation,UNCLEAR,AP News,2025-07-25,Multiple sources discuss this claim.,Science,https://example.com/fact-check/8929,new technology could revolutionize transportation,2,49,5,0.02040816326530612,0
Some experts predict market volatility,UNCLEAR,Nature,2025-05-10,Multiple sources discuss this claim.,Health,https://example.com/fact-check/5940,some experts predict market volatility,2,38,5,0.02631578947368421,0
Alternative energy sources might become dominant,UNCLEAR,AP News,2025-04-25,Multiple sources dispute this claim.,Science,https://example.com/fact-check/2505,alternative energy sources might become dominant,2,48,6,0.020833333333333332,0
The Moon landing was faked,FALSE,FactCheck.org,2025-07-03,Multiple sources dispute this claim.,Technology,https://example.com/fact-check/4144,the moon landing was faked,0,26,5,0.07692307692307693,0
Artificial intelligence might replace some jobs,UNCLEAR,Scientific American,2025-04-29,Multiple sources dispute this claim.,Politics,https://example.com/fact-check/3839,artificial intelligence might replace some jobs,2,47,6,0.02127659574468085,0
Mount Everest is the highest peak on Earth,TRUE,Science Daily,2024-12-29,Multiple sources dispute this claim.,Environment,https://example.com/fact-check/2141,mount everest is the highest peak on earth,1,42,8,0.07142857142857142,0
Some studies suggest meditation can reduce stress,UNCLEAR,AP News,2025-01-26,Multiple sources confirm this claim.,Politics,https://example.com/fact-check/6226,some studies suggest meditation can reduce stress,2,49,7,0.02040816326530612,0
The Moon landing was faked,FALSE,FactCheck.org,2025-06-18,Multiple sources confirm this claim.,Science,https://example.com/fact-check/6626,the moon landing was faked,0,26,5,0.07692307692307693,0
Light travels faster than sound,TRUE,Science Daily,2024-10-23,Multiple sources discuss this claim.,Politics,https://example.com/fact-check/3858,light travels faster than sound,1,31,5,0.03225806451612903,0
Plants produce oxygen through photosynthesis,TRUE,AP News,2024-12-21,Multiple sources dispute this claim.,Environment,https://example.com/fact-check/5058,plants produce oxygen through photosynthesis,1,44,5,0.022727272727272728,0
DNA contains genetic information,TRUE,Science Daily,2025-09-07,Multiple sources dispute this claim.,Environment,https://example.com/fact-check/7691,dna contains genetic information,1,32,4,0.09375,0
Diamonds are made of carbon,TRUE,CDC,2025-05-20,Multiple sources confirm this claim.,Environment,https://example.com/fact-check/4642,diamonds are made of carbon,1,27,5,0.037037037037037035,0
Remote work could increase productivity,UNCLEAR,AP News,2025-08-26,Multiple sources discuss this claim.,Environment,https://example.com/fact-check/2547,remote work could increase productivity,2,39,5,0.02564102564102564,0
Vaccines cause autism,FALSE,Reuters,2025-04-12,Multiple sources discuss this claim.,Technology,https://example.com/fact-check/4000,vaccines cause autism,0,21,3,0.047619047619047616,0
Plants produce oxygen through photosynthesis,TRUE,FactCheck.org,2025-05-11,Multiple sources discuss this claim.,Technology,https://example.com/fact-check/8928,plants produce oxygen through photosynthesis,1,44,5,0.022727272727272728,0
DNA contains genetic information,TRUE,FactCheck.org,2025-09-02,Multiple sources confirm this claim.,Politics,https://example.com/fact-check/4154,dna contains genetic information,1,32,4,0.09375,0
Climate change is a hoax,FALSE,CDC,2025-01-21,Multiple sources discuss this claim.,Environment,https://example.com/fact-check/2948,climate change is a hoax,0,24,5,0.041666666666666664,0
The Moon orbits around the Earth,TRUE,Science Daily,2024-12-16,Multiple sources dispute this claim.,Science,https://example.com/fact-check/9322,the moon orbits around the earth,1,32,6,0.09375,0
Some studies suggest meditation can reduce stress,UNCLEAR,Scientific American,2025-09-16,Multiple sources confirm this claim.,Technology,https://example.com/fact-check/1114,some studies suggest meditation can reduce stress,2,49,7,0.02040816326530612,0
Humans only use 10% of their brains,FALSE,Scientific American,2025-02-27,Multiple sources confirm this claim.,Environment,https://example.com/fact-check/9225,humans only use 10 of their brains,0,35,7,0.02857142857142857,0
Some experts predict market volatility,UNCLEAR,CDC,2024-11-10,Multiple sources discuss this claim.,Technology,https://example.com/fact-check/8872,some experts predict market volatility,2,38,5,0.02631578947368421,0
Humans need oxygen to breathe,TRUE,CDC,2025-02-08,Multiple sources discuss this claim.,Technology,https://example.com/fact-check/5097,humans need oxygen to breathe,1,29,5,0.034482758620689655,0
Climate change is a hoax,FALSE,Nature,2025-04-21,Multiple sources dispute this claim.,Environment,https://example.com/fact-check/5497,climate change is a hoax,0,24,5,0.041666666666666664,0
Economic growth may improve next year,UNCLEAR,Scientific American,2024-12-25,Multiple sources dispute this claim.,Technology,https://example.com/fact-check/4449,economic growth may improve next year,2,37,6,0.02702702702702703,0
Some studies suggest meditation can reduce stress,UNCLEAR,Nature,2024-10-10,Multiple sources discuss this claim.,Environment,https://example.com/fact-check/8796,some studies suggest meditation can reduce stress,2,49,7,0.02040816326530612,0
Water boils at 100 degrees Celsius at sea level,TRUE,Scientific American,2024-11-27,Multiple sources confirm this claim.,Environment,https://example.com/fact-check/1746,water boils at 100 degrees celsius at sea level,1,47,9,0.0425531914893617,0
The Earth orbits around the Sun,TRUE,Scientific American,2025-06-06,Multiple sources dispute this claim.,Environment,https://example.com/fact-check/4468,the earth orbits around the sun,1,31,6,0.0967741935483871,0
The Earth orbits around the Sun,TRUE,AP News,2025-03-14,Multiple sources dispute this claim.,Science,https://example.com/fact-check/4951,the earth orbits around the sun,1,31,6,0.0967741935483871,0
Social media may affect mental health,UNCLEAR,Scientific American,2025-01-16,Multiple sources confirm this claim.,Environment,https://example.com/fact-check/9064,social media may affect mental health,2,37,6,0.02702702702702703,0
Coffee might help prevent certain diseases,UNCLEAR,WHO,2025-01-21,Multiple sources dispute this claim.,Science,https://example.com/fact-check/7027,coffee might help prevent certain diseases,2,42,6,0.023809523809523808,0
5G networks spread viruses,FALSE,Reuters,2024-09-29,Multiple sources confirm this claim.,Technology,https://example.com/fact-check/7748,5g networks spread viruses,0,26,4,0.038461538461538464,0
The Great Wall of China is visible from space,FALSE,AP News,2024-12-14,Multiple sources discuss this claim.,Science,https://example.com/fact-check/4214,the great wall of china is visible from space,0,45,9,0.08888888888888889,0
Some experts predict market volatility,UNCLEAR,AP News,2024-11-09,Multiple sources discuss this claim.,Environment,https://example.com/fact-check/9132,some experts predict market volatility,2,38,5,0.02631578947368421,0
5G networks spread viruses,FALSE,Nature,2025-02-11,Multiple sources confirm this claim.,Health,https://example.com/fact-check/2779,5g networks spread viruses,0,26,4,0.038461538461538464,0
Mount Everest is the highest peak on Earth,TRUE,WHO,2025-03-17,Multiple sources dispute this claim.,Technology,https://example.com/fact-check/7691,mount everest is the highest peak on earth,1,42,8,0.07142857142857142,0
Some experts predict market volatility,UNCLEAR,AP News,2025-09-05,Multiple sources discuss this claim.,Science,https://example.com/fact-check/8684,some experts predict market volatility,2,38,5,0.02631578947368421,0
Social media may affect mental health,UNCLEAR,CDC,2024-10-06,Multiple sources discuss this claim.,Environment,https://example.com/fact-check/7808,social media may affect mental health,2,37,6,0.02702702702702703,0
Mount Everest is the highest peak on Earth,TRUE,Reuters,2025-04-15,Multiple sources discuss this claim.,Technology,https://example.com/fact-check/7896,mount everest is the highest peak on earth,1,42,8,0.07142857142857142,0
Humans only use 10% of their brains,FALSE,Nature,2025-08-11,Multiple sources confirm this claim.,Health,https://example.com/fact-check/4060,humans only use 10 of their brains,0,35,7,0.02857142857142857,0
The Earth is flat,FALSE,FactCheck.org,2025-03-11,Multiple sources discuss this claim.,Health,https://example.com/fact-check/5041,the earth is flat,0,17,4,0.11764705882352941,0
All GMO foods are dangerous,FALSE,CDC,2024-11-20,Multiple sources dispute this claim.,Politics,https://example.com/fact-check/6848,all gmo foods are dangerous,0,27,5,0.14814814814814814,0
The Great Wall of China is visible from space,FALSE,Science Daily,2024-11-15,Multiple sources confirm this claim.,Technology,https://example.com/fact-check/3810,the great wall of china is visible from space,0,45,9,0.08888888888888889,0
New technology could revolutionize transportation,UNCLEAR,AP News,2025-01-17,Multiple sources dispute this claim.,Technology,https://example.com/fact-check/3993,new technology could revolutionize transportation,2,49,5,0.02040816326530612,0
Plants produce oxygen through photosynthesis,TRUE,FactCheck.org,2025-08-12,Multiple sources dispute this claim.,Technology,https://example.com/fact-check/5425,plants produce oxygen through photosynthesis,1,44,5,0.022727272727272728,0
The Moon landing was faked,FALSE,CDC,2024-11-13,Multiple sources dispute this claim.,Politics,https://example.com/fact-check/6603,the moon landing was faked,0,26,5,0.07692307692307693,0
